net,station,orientation_ch1,orientation_ch2,error,Num_measurements
7D,G03A,154,244,5,4
7D,G30A,140,230,2,5
7D,J06A,225,315,6,5
7D,J23A,114,204,11,5
7D,J28A,206,296,12,4
7D,J29A,74,164,13,7
7D,J30A,69,159,9,8
7D,J31A,5,95,11,7
7D,J37A,264,354,9,11
7D,J38A,101,191,14,7
7D,J39A,323,53,13,9
7D,J45A,12,102,10,13
7D,J46A,254,344,14,4
7D,J47A,247,337,14,9
7D,J52A,253,343,11,11
7D,J53A,149,239,13,2
7D,J54A,27,117,9,6
7D,J55A,211,301,12,4
7D,J61A,257,347,6,6
7D,J63A,165,255,8,3
7D,J67A,138,228,5,5
7D,J68A,158,248,20,4
7D,FN07A,118,208,0,12
7D,FN08A,128,218,55,4
7D,FN14A,347,77,44,17
7D,FN16A,201,291,22,15
7D,FN18A,296,26,56,8
7D,J41A,60,150,33,11
7D,J42A,83,173,5,5
7D,J49A,291,21,13,14
7D,J50A,93,183,23,65
7D,J51A,133,223,27,26
7D,J58A,190,280,13,6
7D,J59A,109,199,11,15
7D,M03A,161,251,13,11
7D,J25A,145,235,82,2
7D,J33A,12,102,24,5
7D,J35A,202,292,8,23
7D,J36A,37,127,6.9,16
7D,J43A,81.5,171.5,7.4,24
7D,J44A,207.5,297.5,9.4,9
7D,J57A,157,247,79,2
7D,J65A,51,141,12,2
7D,J73A,16,106,32,2
7D,M01A,100,190,25,5
7D,M07A,91,181,14,18
7D,M08A,8,98,7,3
7D,J48A,NaN,NaN,NaN,NaN
7D,FN12A,312,42,0,1
7D,J26A,NaN,NaN,NaN,NaN
7D,J24A,NaN,NaN,NaN,NaN
7D,J34A,NaN,NaN,NaN,NaN
7D,M06A,NaN,NaN,NaN,NaN
7D,M02A,NaN,NaN,NaN,NaN
7D,FN05A,6,96,0,1
7D,FS02B,78,168,60,6
7D,FS04B,151,241,12,12
7D,FS07B,30,120,0,1
7D,FS11B,202,292,29,3
7D,FS12B,25,115,0,1
7D,FS13B,341,71,30,5
7D,FS15B,141,231,37,4
7D,FS18B,47,137,67,4
7D,FS19B,31,121,0,1
7D,FS20B,0,90,19,9
7D,G09B,220,310,12,5
7D,G17B,324,54,60,10
7D,G18B,221,311,0,1
7D,G25B,334,64,3,5
7D,G26B,316,46,50,2
7D,G34B,151,241,17,13
7D,J17B,87,177,0,1
7D,J25B,99,189,81,7
7D,J33B,10,100,37,10
7D,M09B,98,188,4,13
7D,FS01B,346,76,15,23
7D,FS14B,164,254,51,2
7D,G02B,200,290,18,33
7D,G10B,133,223,16,24
7D,G12B,209,299,21,8
7D,G27B,212,302,17,27
7D,G28B,161,251,15,21
7D,G37B,102,192,13,40
7D,J09B,163,253,6,3
7D,J10B,89,179,10,34
7D,J18B,80,170,1,2
7D,J20B,331,61,9,35
7D,M11B,201,291,19,13
7D,M12B,235,325,15,6
7D,M14B,266,356,13,7
7D,FS05B,307,37,11,3
7D,FS06B,331,61,76,4
7D,G03B,29,119,8,4
7D,G05B,231,321,11,19
7D,G11B,39,129,15,28
7D,G13B,225,315,13,17
7D,G19B,79,189,14,12
7D,G20B,3,93,15,28
7D,G21B,250,340,11,13
7D,G22B,260,350,9,29
7D,G29B,329,59,8,15
7D,G30B,230,320,7,11
7D,G35B,333,63,13,15
7D,G36B2,195,285,14,8
7D,J06B,240,330,13,12
7D,J11B,321,51,10,19
7D,J19B,125,215,7,24
7D,J23B,315,45,9,19
7D,J27B,292,22,13,18
7D,J28B,23,113,9,16
7D,J48B,201,291,8,17
7D,J63B,145,235,7,11
7D,BB030,84,174,0,1
7D,BB060,121,211,0,1
7D,BB070,304,34,0,1
7D,BB090,18,108,0,1
7D,BB120,300,30,0,1
7D,BB130,246,336,0,1
7D,BB140,337,67,7,11
7D,BB150,29,109,0,1
7D,BB170,211,201,0,1
7D,BB180,162,252,0,1
